School Abbreviation,School Name,School Country,School State,School City 
,Eastern Kentucky University,USA,KY,
,Eastern Mennonite University,USA,VA,
,Eastern Michigan University,USA,MI,
,Eastern Nazarene College,USA,MA,
,Eastern New Mexico University,USA,NM,
,Eastern Oregon University,USA,OR,
,Eastern Virginia Medical School,USA,VA,
,Eastern Washington University,USA,WA,
,Eckerd College,USA,FL,
,ECPI College of Technology,USA,VA,
,Eden Theological Seminary,USA,MO,
,Edgewood College,USA,WI,
,Edinboro University of Pennsylvania,USA,PA,
,Edison State College,USA,FL,
,Edward Waters College,USA,FL,
,Elizabeth City State University,USA,NC,
,Elizabethtown College,USA,PA,
,Ellis University,USA,IL,
,Elmhurst College,USA,IL,
,Elmira College,USA,NY,
,Elms College,USA,MA,
,Elon University,USA,NC,
,Embry-Riddle Aeronautical University,USA,AZ,
,Embry-Riddle Aeronautical University,USA,FL,
,Emerson College,USA,MA,
,Emmanuel College,USA,GA,
,Emmanuel College,USA,MA,
,Emmanuel School of Religion,USA,TN,
,Emmaus Bible College,USA,IA,
,Emporia State University,USA,KS,
,Emory & Henry College,USA,VA,
,Emory University,USA,GA,
,Endicott College,USA,MA,
,Erikson Institute,USA,IL,
,Erskine College,USA,SC,
,Escuela de Artes Pl?­sticas de Puerto Rico,USA,PR,
,Eureka College,USA,IL,
,Evangel University,USA,MO,
,Everglades University,USA,FL,
,Evergreen State College,USA,WA,
,Excelsior College,USA,NY,
,Fairfield University,USA,CT,
,Fairleigh Dickinson University,USA,NJ,
,Fairmont State University,USA,WV,
,Faith Baptist Bible College & Theological Seminary,USA,IA,
,Faulkner University,USA,AL,
,Fayetteville State University,USA,NC,
,Felician College,USA,NJ,
,Ferris State University,USA,MI,
,Ferrum College,USA,VA,
,Fielding Graduate University,USA,CA,
,Finlandia University,USA,MI,
,Fisher College,USA,MA,
,Fisk University,USA,TN,
,Fitchburg State College,USA,MA,
,Five Towns College,USA,NY,
,Flagler College,USA,FL,
,Florida Agricultural & Mechanical University,USA,FL,
Florida Atlantic U.,Florida Atlantic University,USA,FL,Boca Raton
,Florida Christian College,USA,FL,
,Florida College,USA,FL,
,Florida Gulf Coast University,USA,FL,
,Florida Hospital College of Health Sciences,USA,FL,
,Florida Institute of Technology,USA,FL,
,Florida International University,USA,FL,
,Florida Memorial University,USA,FL,
,Florida National College,USA,FL,
,Florida Southern College,USA,FL,
,Florida State College at Jacksonville,USA,FL,
,Florida State University,USA,FL,
,Fontbonne University,USA,MO,
,Fordham University,USA,NY,
,Forest Institute of Professional Psychology,USA,MO,
,Fort Hays State University,USA,KS,
,Fort Lewis College,USA,CO,
,Fort Valley State University,USA,GA,
,Framingham State College,USA,MA,
,Francis Marion University,USA,SC,
,Franciscan School of Theology,USA,CA,
,Franciscan University of Steubenville,USA,OH,
,Frank Lloyd Wright School of Architecture,USA,AZ,
,Franklin & Marshall College,USA,PA,
,Franklin College,USA,IN,
,Franklin Pierce University,USA,NH,
,Franklin University,USA,OH,
,Free Will Baptist Bible College,USA,TN,
,Freed-Hardeman University,USA,TN,
,Fresno Pacific University,USA,CA,
,Friends University,USA,KS,
,Frontier School of Midwifery & Family Nursing,USA,KY,
,Frostburg State University,USA,MD,
,Fuller Theological Seminary,USA,CA,
,Furman University,USA,SC,
,Gainesville State College,USA,GA,
,Gallaudet University,USA,DC,
,Gannon University,USA,PA,
,Gardner-Webb University,USA,NC,
,Garrett-Evangelical Theological Seminary,USA,IL,
,Geneva College,USA,PA,
,George Fox University,USA,OR,
,George Mason University,USA,VA,
,George Washington University,USA,DC,
,Georgetown College,USA,KY,
Georgetown U.,Georgetown University,USA,DC,Washington
,Georgia College & State University,USA,GA,
,Georgia Gwinnett College,USA,GA,
Georgia Inst. of Tech.,Georgia Institute of Technology,USA,GA,Atlanta
,Georgia Southern University,USA,GA,
,Georgia Southwestern State University,USA,GA,
,Georgia State University,USA,GA,
,Georgian Court College,USA,NJ,
,Gettysburg College,USA,PA,
,Glenville State College,USA,WV,
,Global University,USA,MO,
,Goddard College,USA,VT,
,Golden Gate University,USA,CA,
,Goldey-Beacom College,USA,DE,
,Goldfarb School of Nursing at Barnes-Jewish College,USA,MO,
,Gonzaga University,USA,WA,
,Goodwin College,USA,CT,
,Gordon College,USA,GA,
,Gordon College,USA,MA,
,Gordon-Conwell Theological Seminary,USA,MA,
,Goshen College,USA,IN,
,Goucher College,USA,MD,
,Governors State University,USA,IL,
,Grace Bible College,USA,MI,
,Grace College & Seminary,USA,IN,
,Grace University,USA,NE,
,Graceland University,USA,IA,
,Graduate Institute of Applied Linguistics,USA,TX,
,Graduate Theological Union,USA,CA,
,Grambling State University,USA,LA,
,Grand Canyon University,USA,AZ,
,Grand Valley State University,USA,MI,
,Grand View University,USA,IA,
,Granite State College,USA,NH,
,Gratz College,USA,PA,
,Great Basin College,USA,NV,
,Great Lakes Christian College,USA,MI,
,Green Mountain College,USA,VT,
,Greensboro College,USA,NC,
,Greenville College,USA,IL,
,Grinnell College,USA,IA,
,Grove City College,USA,PA,
,Guilford College,USA,NC,
,Gulf Coast Community College,USA,FL,
,Gustavus Adolphus College,USA,MN,
,Gwynedd Mercy College,USA,PA,
,Idaho State University,USA,ID,
,Iliff School of Theology,USA,CO,
,Illinois College,USA,IL,
,Illinois College of Optometry,USA,IL,
,Illinois Institute of Artƒ??Chicago,USA,IL,
,Illinois Institute of Artƒ??Schaumburg,USA,IL,
,Illinois Institute of Technology,USA,IL,
,Illinois State University,USA,IL,
,Illinois Wesleyan University,USA,IL,
,Immaculata College,USA,PA,
,Indian River State College,USA,FL,
