WibbiCrawlName,mimeType,crawlType,year,month,day,machine,port,numPages,siteListName,sizeinGB,daemonLogFileName,crawlFilesDirectory
09-2008,text,monthly,2008,09,00,WB21,7518,76049037,09-2008.tx,680,ddaemon.log.09-2008,09-2008
10-2008,text,monthly,2008,10,00,WB3,7220,76528794,10-2008.tx,500,ddaemon.log.10-2008,10-2008
11-2008,text,monthly,2008,11,00,WB2,7571,77127647,11-2008.tx,516,ddaemon.log.11-2008,11-2008
12-2008,text,monthly,2008,12,00,WB7,7572,62693504,12-2008.tx,762,ddaemon.log.12-2008,12-2008
01-2009,text,monthly,2009,01,00,WB23,7565,75552344,01-2009.tx,525,ddaemon.log.01-2009,01-2009
02-2009,text,monthly,2009,02,00,WB23,7587,74210000,02-2009.tx,515,ddaemon.log.02-2009,02-2009
03-2009,text,monthly,2009,03,00,WB22,7254,72112731,03-2009.tx,880,ddaemon.log.03-2009,03-2009
04-2009,text,monthly,2009,04,00,WB2,7578,70918411,04-2009.tx,498,ddaemon.log.04-2009,04-2009
05-2009,text,monthly,2009,05,00,WB7,7633,70559807,05-2009.tx,497,ddaemon.log.05-2009,05-2009
06-2009,text,monthly,2009,06,00,WB15,7650,69299167,06-2009.tx,826,ddaemon.log.06-2009,06-2009
07-2009,text,monthly,2009,07,00,WB15,7651,66737758,07-2009.tx,482,ddaemon.log.07-2009,07-2009
08-2009,text,monthly,2009,08,00,WB2,7659,64250000,08-2009.tx,466,ddaemon.log.08-2009,08-2009
09-2009,text,monthly,2009,09,00,WB7,7671,63760000,09-2009.tx,1600,ddaemon.log.09-2009,09-2009
10-2009,text,monthly,2009,10,00,WB11,7688,62389761,10-2009.tx,468,ddaemon.log.10-2009,10-2009
11-2009,text,monthly,2009,11,00,WB7,7696,63457999,11-2009.tx,479,ddaemon.log.11-2009,11-2009
11-2009-audio,audio,monthly,2009,11,00,WB4,7717,219423,11-2009-audio.au,113,ddaemon.log.11-2009.au,11-2009-audio
12-2009,text,monthly,2009,12,00,WB7,7716,64312852,12-2009.tx,490,ddaemon.log.12-2009,12-2009
01-2010,text,monthly,2010,01,00,WB1,7718,66145584,01-2010.tx,518,ddaemon.log.01-2010,01-2010
02-2010,text,monthly,2010,02,00,WB1,7722,66349561,02-2010.tx,501,ddaemon.log.02-2010,02-2010
03-2010,text,monthly,2010,03,00,WB1,7725,65626572,03-2010.tx,646,ddaemon.log.03-2010,03-2010
04-2010,text,monthly,2010,04,00,WB1,7726,65804414,04-2010.tx,512,ddaemon.log.04-2010,04-2010
05-2010,text,monthly,2010,05,00,WB1,7733,65586665,05-2010.tx,358,ddaemon.log.05-2010,05-2010
06-2010,text,monthly,2010,06,00,WB1,7753,63341316,06-2010.tx,699,ddaemon.log.06-2010,06-2010
07-2010,text,monthly,2010,07,00,WB1,7756,64048820,07-2010.tx,512,dd.log.07-2010,07-2010
08-2010,text,monthly,2010,08,00,WB1,7758,63887923,08-2010.tx,518,dd.log.08-2010,08-2010
09-2010,text,monthly,2010,09,00,WB1,7775,64285877,09-2010.tx,518,dd.log.09-2010,09-2010
10-2010,text,monthly,2010,10,00,WB1,7776,50472251,10-2010.tx,424,dd.log.10-2010,10-2010
11-2010,text,monthly,2010,11,00,WB1,7666,65661352,11-2010.tx,540,dd.log.11-2010,11-2010
12-2010,text,monthly,2010,12,00,WB1,7791,57394732,12-2010.tx,481,dd.log.12-2010,12-2010
01-2011,text,monthly,2011,01,00,WB1,7792,39293588,01-2011.tx,379,dd.log.01-2011,01-2011
02-2011,text,monthly,2011,02,00,WB1,7793,65111607,02-2011.tx,542,dd.log.02-2011,02-2011
03-2011,text,monthly,2011,03,00,WB1,7423,66111607,03-2011.tx,552,dd.log.03-2011,03-2011
gov-07-2003,text,gov,2003,07,00,WB2,7567,8142268,gov-07-2003.tx,214,ddaemon.log.2003-gov-07,gov200307
gov-2004-06,text,gov,2004,06,00,WB2,7506,3391923,gov-2004-06.tx,270,ddaemon.log.2004-gov-06,gov-2004-06
gov-2004-06,image,gov,2004,06,00,WB2,7516,1632483,gov-2004-06.im,270,ddaemon.log.2004-gov-06,gov-2004-06
gov-2004-06,audio,gov,2004,06,00,WB2,7526,3816,gov-2004-06.au,270,ddaemon.log.2004-gov-06,gov-2004-06
gov-2004-06,unknown,gov,2004,06,00,WB2,7536,1242281,gov-2004-06.un,270,ddaemon.log.2004-gov-06,gov-2004-06
gov-2004-09,text,gov,2004,09,00,WB15,7509,5777822,gov-2004-09.tx,260,ddaemon.log.2004-gov-09,gov-2004-09
gov-2004-09,image,gov,2004,09,00,WB15,7519,2403949,gov-2004-09.im,260,ddaemon.log.2004-gov-09,gov-2004-09
gov-2004-09,audio,gov,2004,09,00,WB15,7529,6663,gov-2004-09.au,260,ddaemon.log.2004-gov-09,gov-2004-09
gov-2004-09,unknown,gov,2004,09,00,WB15,7539,2043741,gov-2004-09.un,260,ddaemon.log.2004-gov-09,gov-2004-09
gov-2005-4,text,gov,2005,4,00,WB3,7644,2635004,gov-2005-4.tx,256,ddaemon.log.2005-gov-4,gov-2005-4
gov-2005-4,image,gov,2005,4,00,WB3,7614,1321899,gov-2005-4.im,256,ddaemon.log.2005-gov-4,gov-2005-4
gov-2005-4,audio,gov,2005,4,00,WB3,7624,3461,gov-2005-4.au,256,ddaemon.log.2005-gov-4,gov-2005-4
gov-2005-4,unknown,gov,2005,4,00,WB3,7634,1125302,gov-2005-4.un,256,ddaemon.log.2005-gov-4,gov-2005-4
gov-2005-07,text,gov,2005,07,00,WB15,7607,3535456,gov-2005-07.tx,323,ddaemon.log.2005-gov-7,gov-2005-07
gov-2005-07,image,gov,2005,07,00,WB15,7617,1756823,gov-2005-07.im,323,ddaemon.log.2005-gov-7,gov-2005-07
gov-2005-07,audio,gov,2005,07,00,WB15,7627,4247,gov-2005-07.au,323,ddaemon.log.2005-gov-7,gov-2005-07
gov-2005-07,unknown,gov,2005,07,00,WB15,7637,1388479,gov-2005-07.un,323,ddaemon.log.2005-gov-7,gov-2005-07
gov-09-2005,text,gov,2005,09,00,WB22,7799,3343425,gov-09-2005.tx,337,ddaemon.log.2005-gov-9,gov-09-2005
gov-09-2005,image,gov,2005,09,00,WB22,7719,1831075,gov-09-2005.im,337,ddaemon.log.2005-gov-9,gov-09-2005
gov-09-2005,audio,gov,2005,09,00,WB22,7729,4048,gov-09-2005.au,337,ddaemon.log.2005-gov-9,gov-09-2005
gov-09-2005,unknown,gov,2005,09,00,WB22,7739,1468029,gov-09-2005.un,337,ddaemon.log.2005-gov-9,gov-09-2005
gov-12-2005,text,gov,2005,12,00,WB15,8012,2244710,gov-12-2005.tx,233,ddaemon.log.2005-gov-12,gov-12-2005
gov-12-2005,image,gov,2005,12,00,WB15,8022,1156603,gov-12-2005.im,233,ddaemon.log.2005-gov-12,gov-12-2005
gov-12-2005,audio,gov,2005,12,00,WB15,8032,3751,gov-12-2005.au,233,ddaemon.log.2005-gov-12,gov-12-2005
gov-12-2005,unknown,gov,2005,12,00,WB15,8042,970543,gov-12-2005.un,233,ddaemon.log.2005-gov-12,gov-12-2005
gov-03-2006,text,gov,2006,03,00,WB2,8001,5559726,gov-03-2006.tx,484,ddaemon.log.2006-gov-03,gov-03-2006
gov-03-2006,image,gov,2006,03,00,WB2,8011,2771786,gov-03-2006.im,484,ddaemon.log.2006-gov-03,gov-03-2006
gov-03-2006,audio,gov,2006,03,00,WB2,8021,7474,gov-03-2006.au,484,ddaemon.log.2006-gov-03,gov-03-2006
gov-03-2006,unknown,gov,2006,03,00,WB2,8031,2182328,gov-03-2006.un,484,ddaemon.log.2006-gov-03,gov-03-2006
gov-06-2006,text,gov,2006,06,00,WB21,8041,6126026,gov-06-2006.tx,658,ddaemon.log.2006-gov-06,gov-06-2006
gov-06-2006,image,gov,2006,06,00,WB21,8051,3267426,gov-06-2006.im,658,ddaemon.log.2006-gov-06,gov-06-2006
gov-06-2006,audio,gov,2006,06,00,WB21,8052,8.212,gov-06-2006.au,658,ddaemon.log.2006-gov-06,gov-06-2006
gov-06-2006,unknown,gov,2006,06,00,WB21,8053,2358981,gov-06-2006.un,658,ddaemon.log.2006-gov-06,gov-06-2006
gov-09-2006,text,gov,2006,09,00,WB1,7100,6636067,gov-09-2006.tx,726,ddaemon.log.2006-gov-09,gov-09-2006
gov-09-2006,image,gov,2006,09,00,WB1,7101,3343117,gov-09-2006.im,726,ddaemon.log.2006-gov-09,gov-09-2006
gov-09-2006,audio,gov,2006,09,00,WB1,7102,10428,gov-09-2006.au,726,ddaemon.log.2006-gov-09,gov-09-2006
gov-09-2006,unknown,gov,2006,09,00,WB1,7104,2872675,gov-09-2006.un,726,ddaemon.log.2006-gov-09,gov-09-2006
gov-12-2006,text,gov,2006,12,00,WB9,7149,7062383,gov-12-2006.tx,741,ddaemon.log.2006-gov-12,gov-12-2006
gov-12-2006,image,gov,2006,12,00,WB9,7150,2972535,gov-12-2006.im,741,ddaemon.log.2006-gov-12,gov-12-2006
gov-12-2006,audio,gov,2006,12,00,WB9,7151,11598,gov-12-2006.au,741,ddaemon.log.2006-gov-12,gov-12-2006
gov-12-2006,unknown,gov,2006,12,00,WB9,7152,2718948,gov-12-2006.un,741,ddaemon.log.2006-gov-12,gov-12-2006
gov-03-2007,text,gov,2007,03,00,WB2,7157,8114500,gov-03-2007.tx,681,ddaemon.log.2007-gov-03,gov-03-2007
gov-03-2007,image,gov,2007,03,00,WB2,7158,3377725,gov-03-2007.im,681,ddaemon.log.2007-gov-03,gov-03-2007
gov-03-2007,audio,gov,2007,03,00,WB2,7159,10969,gov-03-2007.au,681,ddaemon.log.2007-gov-03,gov-03-2007
gov-03-2007,unknown,gov,2007,03,00,WB2,7160,3126476,gov-03-2007.un,681,ddaemon.log.2007-gov-03,gov-03-2007
gov-06-2007,text,gov,2007,06,00,WB15,7255,7058870,gov-06-2007.tx,613,ddaemon.log.2007-gov-06,gov-06-2007
gov-06-2007,image,gov,2007,06,00,WB15,7256,3074531,gov-06-2007.im,613,ddaemon.log.2007-gov-06,gov-06-2007
gov-06-2007,audio,gov,2007,06,00,WB15,7257,14674,gov-06-2007.au,613,ddaemon.log.2007-gov-06,gov-06-2007
gov-06-2007,unknown,gov,2007,06,00,WB15,7258,2846336,gov-06-2007.un,613,ddaemon.log.2007-gov-06,gov-06-2007
gov-09-2007,text,gov,2007,09,00,WB23,7267,5234285,gov-09-2007.tx,639,ddaemon.log.2007-gov-09,gov-09-2007
gov-09-2007,image,gov,2007,09,00,WB23,7268,2476108,gov-09-2007.im,639,ddaemon.log.2007-gov-09,gov-09-2007
gov-09-2007,audio,gov,2007,09,00,WB23,7269,11513,gov-09-2007.au,639,ddaemon.log.2007-gov-09,gov-09-2007
gov-09-2007,unknown,gov,2007,09,00,WB23,7270,2468157,gov-09-2007.un,639,ddaemon.log.2007-gov-09,gov-09-2007
gov-12-2007,text,gov,2007,12,00,WB15,7292,4990308,gov-12-2007.tx,629,ddaemon.log.2007-gov-12,gov-12-2007
gov-12-2007,image,gov,2007,12,00,WB15,7293,2445514,gov-12-2007.im,629,ddaemon.log.2007-gov-12,gov-12-2007
gov-12-2007,,gov,2007,12,00,WB15,7295,10097,gov-12-2007,629,ddaemon.log.2007-gov-12,gov-12-2007
gov-12-2007,unknown,gov,2007,12,00,WB15,7296,2523215,gov-12-2007.un,629,ddaemon.log.2007-gov-12,gov-12-2007
gov-03-2008,text,gov,2008,03,00,WB7,7369,6973248,gov-03-2008.tx,654,ddaemon.log.2008-gov-03,gov-03-2008
gov-03-2008,image,gov,2008,03,00,WB7,7370,3310541,gov-03-2008.im,654,ddaemon.log.2008-gov-03,gov-03-2008
gov-03-2008,audio,gov,2008,03,00,WB7,7371,12820,gov-03-2008.au,654,ddaemon.log.2008-gov-03,gov-03-2008
gov-03-2008,unknown,gov,2008,03,00,WB7,7372,2995016,gov-03-2008.un,654,ddaemon.log.2008-gov-03,gov-03-2008
gov-06-2008,text,gov,2008,06,00,WB6,7484,5515161,gov-06-2008.tx,649,ddaemon.log.2008-gov-06,gov-06-2008
gov-06-2008,image,gov,2008,06,00,WB6,7485,2520319,gov-06-2008.im,649,ddaemon.log.2008-gov-06,gov-06-2008
gov-06-2008,audio,gov,2008,06,00,WB6,7488,10338,gov-06-2008.au,649,ddaemon.log.2008-gov-06,gov-06-2008
gov-06-2008,unknown,gov,2008,06,00,WB6,7490,2659486,gov-06-2008.un,649,ddaemon.log.2008-gov-06,gov-06-2008
gov-09-2008,text,gov,2008,09,00,WB2,7510,8034993,gov-09-2008.tx,680,ddaemon.log.2008-gov-09,gov-09-2008
gov-09-2008,image,gov,2008,09,00,WB2,7513,3226209,gov-09-2008.im,680,ddaemon.log.2008-gov-09,gov-09-2008
gov-09-2008,audio,gov,2008,09,00,WB2,7514,14913,gov-09-2008.au,680,ddaemon.log.2008-gov-09,gov-09-2008
gov-09-2008,unknown,gov,2008,09,00,WB2,7515,3347594,gov-09-2008.un,680,ddaemon.log.2008-gov-09,gov-09-2008
gov-12-2008,text,gov,2008,12,00,WB2,7574,7325939,gov-12-2008.tx,762,ddaemon.log.2008-gov-12,gov-12-2008
gov-12-2008,image,gov,2008,12,00,WB2,7575,3186792,gov-12-2008.im,762,ddaemon.log.2008-gov-12,gov-12-2008
gov-12-2008,audio,gov,2008,12,00,WB2,7576,16196,gov-12-2008.au,762,ddaemon.log.2008-gov-12,gov-12-2008
gov-12-2008,unknown,gov,2008,12,00,WB2,7577,3199621,gov-12-2008.un,762,ddaemon.log.2008-gov-12,gov-12-2008
gov-03-2009,text,gov,2009,03,00,WB11,7645,7914432,gov-03-2009.tx,880,ddaemon.log.gov-03-2009,gov-03-2009
gov-03-2009,image,gov,2009,03,00,WB11,7512,3628425,gov-03-2009.im,880,ddaemon.log.gov-03-2009,gov-03-2009
gov-03-2009,audio,gov,2009,03,00,WB11,7522,13495,gov-03-2009.au,880,ddaemon.log.gov-03-2009,gov-03-2009
gov-03-2009,unknown,gov,2009,03,00,WB11,7532,3430408,gov-03-2009.un,880,ddaemon.log.gov-03-2009,gov-03-2009
gov-06-2009,text,gov,2009,06,00,WB1,7646,7147594,gov-06-2009.tx,826,ddaemon.log.gov-06-2009,gov-06-2009
gov-06-2009,image,gov,2009,06,00,WB1,7647,3310254,gov-06-2009.im,826,ddaemon.log.gov-06-2009,gov-06-2009
gov-06-2009,audio,gov,2009,06,00,WB1,7648,10489,gov-06-2009.au,826,ddaemon.log.gov-06-2009,gov-06-2009
gov-06-2009,unknown,gov,2009,06,00,WB1,7649,3053097,gov-06-2009.un,826,ddaemon.log.gov-06-2009,gov-06-2009
gov-09-2009,text,gov,2009,09,00,WB1,7663,9875503,gov-09-2009.tx,1600,ddaemon.log.gov-09-2009,gov-09-2009
gov-09-2009,image,gov,2009,09,00,WB1,7665,4655361,gov-09-2009.im,1600,ddaemon.log.gov-09-2009,gov-09-2009
gov-09-2009,audio,gov,2009,09,00,WB1,7667,16808,gov-09-2009.au,1600,ddaemon.log.gov-09-2009,gov-09-2009
gov-09-2009,unknown,gov,2009,09,00,WB1,7670,4409357,gov-09-2009.un,1600,ddaemon.log.gov-09-2009,gov-09-2009
gov-12-2009,text,gov,2009,12,00,WB15,7699,5990000,gov-12-2009.tx,599,ddaemon.log.gov-12-2009,gov-12-2009
gov-12-2009,image,gov,2009,12,00,WB15,7700,1948475,gov-12-2009.im,599,ddaemon.log.gov-12-2009,gov-12-2009
gov-12-2009,audio,gov,2009,12,00,WB15,7714,13974,gov-12-2009.au,599,ddaemon.log.gov-12-2009,gov-12-2009
gov-12-2009,unknown,gov,2009,12,00,WB15,7715,2419372,gov-12-2009.un,599,ddaemon.log.gov-12-2009,gov-12-2009
gov-03-2010,text,gov,2010,03,00,WB3,7735,6110000,gov-03-2010.tx,646,ddaemon.log.gov-03-2010,gov-03-2010
gov-03-2010,image,gov,2010,03,00,WB3,7727,2002583,gov-03-2010.im,646,ddaemon.log.gov-03-2010,gov-03-2010
gov-03-2010,audio,gov,2010,03,00,WB3,7728,14942,gov-03-2010.au,646,ddaemon.log.gov-03-2010,gov-03-2010
gov-03-2010,unknown,gov,2010,03,00,WB3,7731,2.622190,gov-03-2010.un,646,ddaemon.log.gov-03-2010,gov-03-2010
gov-06-2010,text,gov,2010,06,00,WB13,7734,6345945,gov-06-2010.tx,699,ddaemon.log.gov-06-2010,gov-06-2010
gov-06-2010,image,gov,2010,06,00,WB13,7736,2129832,gov-06-2010.im,699,ddaemon.log.gov-06-2010,gov-06-2010
gov-06-2010,audio,gov,2010,06,00,WB13,7737,16533,gov-06-2010.au,699,ddaemon.log.gov-06-2010,gov-06-2010
gov-06-2010,unknown,gov,2010,06,00,WB13,7738,2839608,gov-06-2010.un,699,ddaemon.log.gov-06-2010,gov-06-2010
gov-09-2010,text,gov,2010,09,00,WB22,7759,6432336,gov-09-2010.tx,663,ddaemon.log.gov0910,gov-09-2010
gov-09-2010,image,gov,2010,09,00,WB22,7760,2053332,gov-09-2010.im,663,ddaemon.log.gov0910,gov-09-2010
gov-09-2010,audio,gov,2010,09,00,WB22,7761,15722,gov-09-2010.au,663,ddaemon.log.gov0910,gov-09-2010
gov-09-2010,unknown,gov,2010,09,00,WB22,7762,2651439,gov-09-2010.un,663,ddaemon.log.gov0910,gov-09-2010
gov-12-2010,text,gov,2010,12,00,WB4,7779,5674843,gov-12-2010.tx,645,dd.log.gov1210,gov-12-2010
gov-12-2010,image,gov,2010,12,00,WB4,7780,1877099,gov-12-2010.im,645,dd.log.gov1210,gov-12-2010
gov-12-2010,audio,gov,2010,12,00,WB4,7781,16320,gov-12-2010.au,645,dd.log.gov1210,gov-12-2010
gov-12-2010,unknown,gov,2010,12,00,WB4,7782,2600053,gov-12-2010.un,645,dd.log.gov1210,gov-12-2010
gov-03-2011,text,gov,2011,03,00,WB18,7406,5674843,gov-03-2011.tx,645,dd.log.gov0311,gov-03-2011
gov-03-2011,image,gov,2011,03,00,WB18,7411,1877099,gov-03-2011.im,645,dd.log.gov0311,gov-03-2011
gov-03-2011,audio,gov,2011,03,00,WB18,7414,16320,gov-03-2011.au,645,dd.log.gov0311,gov-03-2011
gov-03-2011,unknown,gov,2011,03,00,WB18,7417,2600053,gov-03-2011.un,645,dd.log.gov0311,gov-03-2011
states-2005-5-2,text,state,2005,5,00,WB11,7204,2334486,states-2005-5-2.tx,211,ddaemon.log.2005-states-5,states-2005-5-2
states-2005-5-2,image,state,2005,5,00,WB11,7214,742674,states-2005-5-2.im,211,ddaemon.log.2005-states-5,states-2005-5-2
states-2005-5-2,audio,state,2005,5,00,WB11,7224,4784,states-2005-5-2.au,211,ddaemon.log.2005-states-5,states-2005-5-2
states-2005-5-2,unknown,state,2005,5,00,WB11,7234,1374650,states-2005-5-2.un,211,ddaemon.log.2005-states-5,states-2005-5-2
county-2005-05,text,county,2005,05,00,WB15,7264,1209031,county-2005-05.tx,90,dd.log.county-2005-05,county-2005-05
county-2005-05,image,county,2005,05,00,WB15,7274,458158,county-2005-05.im,90,dd.log.county-2005-05,county-2005-05
county-2005-05,audio,county,2005,05,00,WB15,7284,58714,county-2005-05.au,90,dd.log.county-2005-05,county-2005-05
county-2005-05,unknown,county,2005,05,00,WB15,7294,502413,county-2005-05.un,90,dd.log.county-2005-05,county-2005-05
city-2005-05,text,city,2005,05,00,WB6,7664,2509263,city-2005-05.tx,188,ddaemon.log.2005-city-05,city-2005-05
city-2005-05,image,city,2005,05,00,WB6,7674,1158917,city-2005-05.im,188,ddaemon.log.2005-city-05,city-2005-05
city-2005-05,audio,city,2005,05,00,WB6,7684,1205,city-2005-05.au,188,ddaemon.log.2005-city-05,city-2005-05
city-2005-05,unknown,city,2005,05,00,WB6,7694,1025056,city-2005-05.un,188,ddaemon.log.2005-city-05,city-2005-05
states-2005-9,text,state,2005,9,00,WB2,7465,2149251,states-2005-9.tx,219,ddaemon.log.2005-state-09,states-2005-9
states-2005-9,image,state,2005,9,00,WB2,7466,694442,states-2005-9.im,219,ddaemon.log.2005-state-09,states-2005-9
states-2005-9,audio,state,2005,9,00,WB2,7467,5914,states-2005-9.au,219,ddaemon.log.2005-state-09,states-2005-9
states-2005-9,unknown,state,2005,9,00,WB2,7468,1337376,states-2005-9.un,219,ddaemon.log.2005-state-09,states-2005-9
states-2006-4,text,state,2006,4,00,WB15,7365,2006730,states-2006-4.tx,245,ddaemon.log.2006-state-04,states-2006-4
states-2006-4,image,state,2006,4,00,WB15,7366,675381,states-2006-4.im,245,ddaemon.log.2006-state-04,states-2006-4
